"","uniqueID1","uniqueID2","uniqueID3","uniqueID4","date","year","season","fishing_season","latitude","longitude","location","total_salmon_per_site","day_scaled_linearised","month_linearised","netting_record","sea_age","sex","fork_length","gut_weight","condition","vgll3","six6","best_estimate","be_probability","prey_group","num_prey","num_fish","num_crus","w_fish","w_crus","w_prey","empty_notEmpty","fish_prop","fish_noFish","crust_prop","crust_noCrust"
"44","59_W_45","0059_W_45","0059_W_45_1992","113_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,113,"1","male",45,0.81,0.888888888888889,1,1,"England_Ireland",0.9995,NA,0,0,0,0,0,0,0,NA,0,NA,0
"45","61_W_45","0061_W_45","0061_W_45_1992","108_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,108,"1","female",45,0.91,0.998628257887517,2,3,"England_Ireland",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"46","62_W_45","0062_W_45","0062_W_45_1992","109_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,109,"1","male",45,0.72,0.790123456790123,2,3,"Southern_Norway",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"47","63_W_44","0063_W_44","0063_W_44_1992","96_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,96,"1","female",44,0.72,0.845229151014275,2,1,"England_Ireland",0.9997,NA,0,0,0,0,0,0,0,NA,0,NA,0
"48","64_W_46","0064_W_46","0064_W_46_1992","106_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,106,"1","male",46,0.91,0.934905892989233,2,3,"Southern_Norway",0.9995,NA,0,0,0,0,0,0,0,NA,0,NA,0
"49","65_W_45","0065_W_45","0065_W_45_1992","105_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,105,"1","female",45,0.81,0.888888888888889,1,2,"England_Ireland",0.9874,"Fish",0,0,0,0.25,0,0.25,1,1,1,0,0
"50","66_W_46","0066_W_46","0066_W_46_1992","104_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,104,"1","female",46,0.91,0.934905892989233,3,3,"Southern_Norway",1,"Crustaceans",102,0,102,0,1.66,1.66,1,0,0,1,1
"51","67_W_56","0067_W_56","0067_W_56_1992","103_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,103,"2","male",56,1.36,0.774416909620991,2,2,"Southern_Norway",0.9999,NA,0,0,0,0,0,0,0,NA,0,NA,0
"52","68_W_48","0068_W_48","0068_W_48_1992","102_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,102,"1","male",48,1,0.904224537037037,2,3,"Southern_Norway",0.9548,NA,0,0,0,0,0,0,0,NA,0,NA,0
"53","69_W_44","0069_W_44","0069_W_44_1992","101_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,101,"1","male",44,0.81,0.950882794891059,3,2,"Southern_Norway",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"54","70_W_46","0070_W_46","0070_W_46_1992","100_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,100,"1","female",46,0.91,0.934905892989233,1,1,"England_Ireland",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"55","71_W_45","0071_W_45","0071_W_45_1992","99_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,99,"1","male",45,0.81,0.888888888888889,2,1,"England_Ireland",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"56","72_W_46","0072_W_46","0072_W_46_1992","98_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,98,"1","male",46,0.81,0.832168981671735,3,2,"Southern_Norway",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"57","73_W_45","0073_W_45","0073_W_45_1992","97_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,97,"1","female",45,0.91,0.998628257887517,2,3,"England_Ireland",1,"Crustaceans",2,0,2,0,0.16,0.16,1,0,0,1,1
