IND;Best Estimate;Probability;2nd Best Estimate;Probability;3rd Best Estimate, etc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0695_W_88_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0696_W_93_1993 ;Lardaiselva;0.5673;Gaula;0.4122;Laukhelle_aver;0.0067;Lakselva_aver;0.0060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0697_W_49_1993 ;Blackwater;0.5111;Dart;0.2581;NorthEsk;0.2114;Tweed;0.0107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0698_W_73_1993 ;Gaula;0.6778;Lardaiselva;0.3222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0699_W_88_1993 ;Alta;0.9993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0703_W_93_1993 ;Gaula;0.9514;Numedalsiagen;0.0399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0705_W_72_1993 ;Lardaiselva;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0688_W_76_1993 ;Gaula;0.8819;Lardaiselva;0.1164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0758_W_109_1993 ;Alta;0.9978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0756_W_71_1993 ;Laukhelle_aver;0.9546;Numedalsiagen;0.0200;Lardaiselva;0.0133;Blackwater;0.0056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0760_W_70_1993 ;Gaula;0.9824;Lardaiselva;0.0175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0761_W_73_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0762_W_78_1993 ;Gaula;0.9990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0763_W_89_1993 ;Alta;0.9769;Teno;0.0231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0764_W_83_1993 ;UN_aver;0.9998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0765_W_71_1993 ;Chaloupe;0.9928;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0766_W_75_1993 ;Dionard;0.8917;NorthEsk;0.1069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0767_W_86_1993 ;Gaula;0.9861;Lardaiselva;0.0107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0768_W_72_1993 ;Gaula;0.6510;Lardaiselva;0.3302;Numedalsiagen;0.0184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0771_W_70_1993 ;Gaula;0.9701;Numedalsiagen;0.0183;Lardaiselva;0.0072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0779_W_74_1993 ;Gaula;0.9813;Dionard;0.0084;Numedalsiagen;0.0057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0778_W_93_1993 ;Dionard;0.9781;Dart;0.0208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0775_W_72_1993 ;Teno;0.4708;VJ_aver;0.3973;Alta;0.0663;Mal_aver;0.0265;Titovka_aver;0.0198;Reisa_aver;0.0112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0774_W_61_1993 ;Gaula;0.9998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0769_W_70_1993 ;Dionard;0.7884;Gaula;0.1784;Blackwater;0.0139;NorthEsk;0.0132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0780_W_69_1993 ;NorthEsk;0.9926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0770_W_69_1993 ;NorthEsk;0.9077;Tweed;0.0677;Dionard;0.0221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0753_W_70_1993 ;Gaula;0.9910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0757_W_74_1993 ;Dart;0.9053;NorthEsk;0.0943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0740_W_73_1993 ;Numedalsiagen;0.6682;Gaula;0.1744;Lardaiselva;0.1465;Laukhelle_aver;0.0078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0737_W_75_1993 ;Dionard;0.9982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0736_W_63_1993 ;Dionard;0.9898;NorthEsk;0.0084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0735_W_68_1993 ;Lardaiselva;0.8520;Gaula;0.1229;Numedalsiagen;0.0218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0734_W_74_1993 ;Gaula;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0733_W_63_1993 ;Dionard;0.6019;NorthEsk;0.2515;Dart;0.0894;Blackwater;0.0301;Tweed;0.0269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0732_W_66_1993 ;Gaula;0.4275;Numedalsiagen;0.3842;Lardaiselva;0.1633;Dionard;0.0247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0731_W_69_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0739_W_78_1993 ;NorthEsk;0.9417;Tweed;0.0292;Moy;0.0200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0743_W_69_1993 ;Tweed;0.8903;Dart;0.0596;Dionard;0.0249;NorthEsk;0.0223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0744_W_87_1993 ;Gaula;0.5271;Lardaiselva;0.4609;Numedalsiagen;0.0120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0745_W_85_1993 ;Teno;0.4011;Alta;0.1956;Gaula;0.1328;Mal_aver;0.1047;Numedalsiagen;0.0574;Dionard;0.0435;VJ_aver;0.0287;Blackwater;0.0141;Tuloma;0.0141;;;;;;;;;;;;;;;;;;;;;;;;;;
0746_W_93_1993 ;Gaula;0.9944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0755_W_71_1993 ;Dionard;0.7599;NorthEsk;0.2400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0741_W_63_1993 ;UN_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0751_W_70_1993 ;Dionard;0.5525;Blackwater;0.2016;Tweed;0.1266;Dart;0.1163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0752_W_70_1993 ;Dionard;0.9905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0748_W_79_1993 ;Gaula;0.9981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0813_W_78_1993 ;Gaula;0.9983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0808_W_84_1993 ;Lardaiselva;0.6705;Gaula;0.3294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0809_W_81_1993 ;Gaula;0.9605;Lardaiselva;0.0394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0810_W_78_1993 ;Gaula;0.9546;Alta;0.0332;Numedalsiagen;0.0043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0811_W_84_1993 ;Alta;0.9681;Teno;0.0275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0812_W_72_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0806_W_80_1993 ;Dionard;0.9461;NorthEsk;0.0501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0814_W_74_1993 ;Lardaiselva;0.9571;Gaula;0.0429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0815_W_75_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0816_W_71_1993 ;Gaula;0.8914;NorthEsk;0.0561;Laukhelle_aver;0.0263;Numedalsiagen;0.0161;Lardaiselva;0.0100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0821_W_91_1993 ;Numedalsiagen;0.9970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0829_W_87_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0828_W_68_1993 ;Gaula;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0827_W_80_1993 ;Gaula;0.9605;Mal_aver;0.0372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0826_W_75_1993 ;Dionard;0.9453;NorthEsk;0.0506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0825_W_77_1993 ;Numedalsiagen;0.9386;Laukhelle_aver;0.0531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0824_W_93_1993 ;Emtsa;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0818_W_75_1993 ;Dionard;0.7025;NorthEsk;0.1665;Dart;0.1231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0822_W_70_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0830_W_89_1993 ;Lardaiselva;0.6849;Numedalsiagen;0.2333;Gaula;0.0732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0823_W_89_1993 ;Gaula;0.6073;Lardaiselva;0.2049;Numedalsiagen;0.1879;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0819_W_62_1993 ;Gaula;0.9824;Lardaiselva;0.0163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0807_W_63_1993 ;PPI_aver;0.6682;UN_aver;0.3318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0803_W_80_1993 ;Lardaiselva;0.6511;Blackwater;0.1421;Gaula;0.1278;Dionard;0.0747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0790_W_90_1993 ;Gaula;0.9997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0792_W_73_1993 ;NorthEsk;0.8854;Blackwater;0.0841;Dionard;0.0155;Dart;0.0144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0788_W_94_1993 ;Gaula;0.9988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0787_W_84_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0786_W_88_1993 ;Alta;0.9580;Lakselva_aver;0.0372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0785_W_64_1993 ;Gaula;0.9362;Dionard;0.0307;Blackwater;0.0200;Tweed;0.0106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0784_W_70_1993 ;Gaula;0.9911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0783_W_67_1993 ;Neiden_aver;0.7174;Tuloma;0.1530;Teno;0.1226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0782_W_69_1993 ;Gaula;0.5426;Lardaiselva;0.4322;NorthEsk;0.0147;Dionard;0.0089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0781_W_78_1993 ;Dart;0.9797;NorthEsk;0.0102;Dionard;0.0055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0789_W_69_1993 ;Lebyazhya;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0793_W_74_1993 ;Blackwater;0.5132;Dart;0.2642;Gaula;0.1263;Dionard;0.0912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0794_W_64_1993 ;Gaula;0.7953;Teno;0.1355;NorthEsk;0.0663;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0795_W_68_1993 ;Gaula;0.5153;NorthEsk;0.3929;Dionard;0.0844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0796_W_69_1993 ;Numedalsiagen;0.9804;Gaula;0.0182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0797_W_62_1993 ;NorthEsk;0.7568;Gaula;0.0673;Numedalsiagen;0.0546;Blackwater;0.0444;Laukhelle_aver;0.0411;Dionard;0.0138;Lardaiselva;0.0109;Dart;0.0066;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0805_W_82_1993 ;Gaula;0.9998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0799_W_64_1993 ;Mal_aver;0.7076;Alta;0.2448;Gaula;0.0468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0800_W_74_1993 ;Pongoma;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0801_W_72_1993 ;Gaula;0.8641;Lardaiselva;0.1353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0802_W_70_1993 ;Tweed;0.5093;NorthEsk;0.3770;Dart;0.1134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0804_W_96_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0798_W_91_1993 ;Gaula;0.9924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0853_W_88_1993 ;Gaula;0.9395;Laukhelle_aver;0.0579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0863_W_70_1993 ;Numedalsiagen;0.7516;Gaula;0.1181;Dionard;0.1147;Lardaiselva;0.0148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0858_W_76_1993 ;Tweed;0.5966;Dionard;0.3950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0859_W_90_1993 ;Gaula;0.9146;Lardaiselva;0.0853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0860_W_92_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0861_W_77_1993 ;Numedalsiagen;0.5111;Alta;0.2854;Gaula;0.1973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0869_W_94_1993 ;Gaula;0.9998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0856_W_70_1993 ;Dionard;0.6674;NorthEsk;0.3232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0864_W_84_1993 ;Alta;0.8379;Teno;0.0781;VJ_aver;0.0465;Reisa_aver;0.0371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0865_W_91_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0867_W_79_1993 ;NorthEsk;0.9912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0871_W_71_1993 ;NorthEsk;0.9362;Dart;0.0544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0880_W_71_1993 ;NorthEsk;0.7881;Tweed;0.1739;Dionard;0.0321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0879_W_89_1993 ;PPI_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0876_W_71_1993 ;Alta;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0875_W_90_1993 ;Gaula;0.9982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0873_W_91_1993 ;Lardaiselva;0.7466;Gaula;0.2533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0872_W_73_1993 ;Gaula;0.9402;Lardaiselva;0.0498;Numedalsiagen;0.0087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0868_W_87_1993 ;Gaula;0.9985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0870_W_78_1993 ;Gaula;0.8268;Numedalsiagen;0.1159;Lardaiselva;0.0561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0857_W_75_1993 ;Laukhelle_aver;0.8455;Gaula;0.1049;Lardaiselva;0.0493;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0852_W_74_1993 ;Numedalsiagen;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0840_W_73_1993 ;Gaula;0.9886;Numedalsiagen;0.0112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0842_W_79_1993 ;Dart;0.5120;Dionard;0.2512;Blackwater;0.2249;NorthEsk;0.0088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0839_W_66_1993 ;Dart;0.9244;Dionard;0.0541;Blackwater;0.0199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0838_W_82_1993 ;Lardaiselva;0.9630;Gaula;0.0313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0837_W_72_1993 ;Dionard;0.3563;Lardaiselva;0.3081;Dart;0.1960;Numedalsiagen;0.0674;Blackwater;0.0339;Laukhelle_aver;0.0193;Tweed;0.0156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0836_W_92_1993 ;UN_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0835_W_70_1993 ;Dart;0.9969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0834_W_74_1993 ;Gaula;0.9982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0833_W_66_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0831_W_75_1993 ;UN_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0841_W_86_1993 ;Gaula;0.9701;Lardaiselva;0.0260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0845_W_59_1993 ;Lardaiselva;0.9652;Gaula;0.0347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0846_W_88_1993 ;Gaula;0.9213;Lardaiselva;0.0752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0847_W_86_1993 ;Teno;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0848_W_63_1993 ;Numedalsiagen;0.9753;Laukhelle_aver;0.0242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0849_W_80_1993 ;Lardaiselva;0.9326;Gaula;0.0665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0850_W_72_1993 ;Gaula;0.8949;Lardaiselva;0.1036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0851_W_88_1993 ;Gaula;0.9078;Lardaiselva;0.0775;Numedalsiagen;0.0133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0854_W_89_1993 ;Gaula;0.9887;Numedalsiagen;0.0086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0855_W_76_1993 ;Gaula;0.9951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0908_W_77_1993 ;Gaula;0.8942;Lardaiselva;0.1045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0913_W_72_1993 ;Gaula;0.9980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0909_W_67_1993 ;Teno;0.9207;Alta;0.0791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0911_W_82_1993 ;Gaula;0.9981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0919_W_96_1993 ;Gaula;0.9997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0906_W_93_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0915_W_92_1993 ;Alta;0.9960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0917_W_95_1993 ;Gaula;0.9814;Lardaiselva;0.0108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0921_W_104_1993 ;Numedalsiagen;0.4736;Lardaiselva;0.4489;Gaula;0.0653;Laukhelle_aver;0.0115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0929_W_70_1993 ;Gaula;0.4430;Dart;0.2965;Numedalsiagen;0.1865;Lardaiselva;0.0681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0928_W_65_1993 ;Gaula;0.9209;Lardaiselva;0.0784;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0927_W_63_1993 ;UN_aver;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0926_W_47_1993 ;Dart;0.9972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0925_W_46_1993 ;NorthEsk;0.9597;Dionard;0.0356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0924_W_44_1993 ;Chaloupe;0.9792;Matapedia;0.0207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0922_W_65_1993 ;Gaula;0.8659;Dionard;0.1116;NorthEsk;0.0214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0918_W_44_1993 ;NorthEsk;0.6848;Blackwater;0.3013;Tweed;0.0092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0907_W_94_1993 ;Ong_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0888_W_103_1993 ;Gaula;0.8153;Lardaiselva;0.1840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0881_W_46_1993 ;Dionard;0.9946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0891_W_71_1993 ;Dart;0.4915;Gaula;0.4413;Blackwater;0.0672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0887_W_87_1993 ;Gaula;0.8447;Lardaiselva;0.1475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0886_W_73_1993 ;Gaula;0.9919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0885_W_81_1993 ;Dionard;0.8574;Dart;0.0724;Gaula;0.0475;NorthEsk;0.0226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0884_W_88_1993 ;Numedalsiagen;0.9650;Lardaiselva;0.0346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0882_W_92_1993 ;Gaula;0.9093;Numedalsiagen;0.0890;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0890_W_64_1993 ;UN_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0895_W_90_1993 ;Gaula;0.8228;Lardaiselva;0.1767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0897_W_70_1993 ;NorthEsk;0.6849;Dionard;0.2827;Gaula;0.0134;Lardaiselva;0.0101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0898_W_83_1993 ;Gaula;0.9998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0899_W_68_1993 ;Dionard;0.9994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0900_W_67_1993 ;Dionard;0.8109;Gaula;0.0996;NorthEsk;0.0886;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0901_W_66_1993 ;Gaula;0.9339;NorthEsk;0.0638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0903_W_68_1993 ;Lardaiselva;0.6569;Gaula;0.3345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0957_W_87_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0959_W_71_1993 ;Numedalsiagen;0.9987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0960_W_98_1993 ;Alta;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0964_W_74_1993 ;Numedalsiagen;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0965_W_66_1993 ;NorthEsk;0.3858;Gaula;0.2650;Dionard;0.2493;Numedalsiagen;0.0951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0966_W_71_1993 ;Moy;0.8492;NorthEsk;0.0894;Dionard;0.0608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0967_W_51_1993 ;Gaula;0.9954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0971_W_70_1993 ;NorthEsk;0.7479;Dart;0.1345;Tweed;0.0729;Dionard;0.0209;Blackwater;0.0201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0979_W_85_1993 ;Lardaiselva;0.9048;Gaula;0.0952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0978_W_90_1993 ;Lardaiselva;0.7548;Gaula;0.2452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0977_W_86_1993 ;Gaula;0.9997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0975_W_66_1993 ;Numedalsiagen;0.7089;Lardaiselva;0.2010;Gaula;0.0885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0972_W_68_1993 ;Alta;0.7329;Teno;0.2671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
