IND;Best Estimate;Probability;2nd Best Estimate;Probability;3rd Best Estimate, etc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0169_W_70_1993 ;NorthEsk;0.5213;Tweed;0.4411;Dionard;0.0310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0170_W_90_1993 ;Numedalsiagen;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0173_W_75_1993 ;Numedalsiagen;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0158_W_73_1993 ;Matapedia;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0150_W_67_1993 ;Gaula;0.9702;Lardaiselva;0.0294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0152_W_69_1993 ;Gaula;0.9995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0154_W_68_1993 ;Gaula;0.9993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0157_W_99_1993 ;UN_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0149_W_100_1993 ;Gaula;0.9930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0156_W_86_1993 ;Gaula;0.9953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0203_W_88_1993 ;Numedalsiagen;0.5238;Gaula;0.4727;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0204_W_88_1993 ;Gaula;0.9986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0205_W_74_1993 ;Numedalsiagen;0.9985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0213_W_78_1993 ;Alta;0.8972;Teno;0.1022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0206_W_74_1993 ;Dart;0.6112;Blackwater;0.2374;Dionard;0.0929;Gaula;0.0274;Tweed;0.0184;NorthEsk;0.0126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0199_W_74_1993 ;Tweed;0.6090;Dionard;0.3496;Dart;0.0178;NorthEsk;0.0126;Blackwater;0.0110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0222_W_114_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0221_W_96_1993 ;Laukhelle_aver;0.5558;Gaula;0.2964;Lardaiselva;0.1229;Mal_aver;0.0246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0220_W_72_1993 ;Gaula;0.9580;Lardaiselva;0.0420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
